ID,ID_Ristow,ID_Khatchatrian,Page_Khatchatrian,Page_Khatchatrian_1982_Suppl,Pelagios_ID,Place_name_modern,Localisation,X_coordinates,Y_coordinates,Localisation_certainty,Localisation_notes,Certainty,Place_name_full_precisely_transcribed_from_Ristow,Near,Place_name_ancient,Place_name_alternative_forms,State_modern,Region_modern,Island,Region_ancient,Province_ancient,Date_Ristow,Built_after_or_in,Built_before_or_in,Date_century_from_ante_quem,Date_average,Date_century_from_average,Date_certainty,Separate_Building_or_Part_of_the_Church,Place_specification,Patrocinium,Building_orientation,Building_shape_1,Building_shape_2,Building_shape_3,Building_shape_note,Entrance_from,Entrance_room,Apse,Piscina_location,Piscina_shape_1,Piscina_shape_2,Piscina_shape_3,Piscina_shape_4,Piscina_shape_5,Piscina_shape_6,Piscina_shape_note,Additional_piscina,Monolithic_piscina,Piscina_steps_number_max,Piscina_steps_from_direction,Piscina_depth_cm,Piscina_depth_precise,Piscina_height_cm,Not_totally_full,Ciborium,Ciborium_supports_no,Plan_reference,Plan,Photo,Notes,
11,11,,,96,,Abuşír,"Abuşír, Egypt",29.52,30.95,1,,certain or very probable,"Abuşír (Abū Sir/Abou Sir/Taposiris Magna) {Mareotis}, in einer Tempelanlage",,Taposiris Magna,"Abuşír, Abū Sir, Abou Sir",Egypt,,,Mareotis,,fma,500,999,10,750,8,,c,temple,,NE,rectangle,,,,"S, W","S, W",,NE,round,rectangle,,,,,,,,,,,,,,,,"Adriani 1940, 130, Fig. 62; Godlewski 1991 (Abb. u. li.) [Pisc.]",,,,
12,12,,,100,,Aksa,"Akša, Egypt",29.57,30.83,1,,certain or very probable,Akša (Aksha) {Nubien},,,"Akša, Aksha",Egypt,,,Nubia,,700-900,700,900,10,800,9,,,,,SE,rectangle,,,,W,W,,,unknown,,,,,,destroyed,,,,,,,,,,,"Godlewski 1979, 63, fig. 8",,,,
13,13,,,,,al-Filūsīya,"al-Filūsīya, Egypt",33.77,31.11,2,Ariš,certain or very probable,"al-Filūsīya (El-Felusyat/Khirbet el-Flousiyeh/Ostrac(k)ine/Osrhoene/30 km westl. el-Arish) {Nordsinai}, Kirche 70 m nördlich der Großen Basilika",el-Arish,"Ostracine, Ostrackine, Osrhoene","al-Filūsīya, El-Felusyat, Khirbet el-Flousiyeh",Egypt,Northern Sinai,,,,5/6 (später?),450,599,6,525,6,n,c,70 m north of the grand basilica,,SE,rectangle,,,,"N, W",N,,NE,round,octogon,,,,,,,,,,40,,,,y,2,"Ben Pechar 1986 III, Pl. 53f.; Oren 1993, 308 (Abb.)",,,,
14,14,48,,,,al-Filūsīya,"al-Filūsīya, Egypt",33.77,31.11,2,Ariš,certain or very probable,"al-Filūsīya (El-Felusyat/Khirbet el-Flousiyeh/Ostrac(k)ine/Osrhoene/30 km westl. el-Arish) {Nordsinai}, Kirche an der Küste (1,5 km nördlich der Befestigung)",el-Arish,"Ostracine, Ostrackine, Osrhoene","al-Filūsīya, El-Felusyat, Khirbet el-Flousiyeh",Egypt,Northern Sinai,,,,6,500,599,6,550,6,,c,church on the coast (1.5 km north of the fortification),,W,trefoil,,,,W,W,E,E,rectangle,,,,,,,,,2,W,70,,,,,,"Ben Pechar 1986 III, Pl. 55f.; Oren 1993, 307 (Abb.)",,,,
15,15,,,100,,ar-Ramāl,"ar-Ramāl, Egypt",31.60,22.23,3,"Odhad podle informace z wiki:""Ar-Ramal byl umístěn na levém západním břehu Nilu mezi první a druhou katarakou, několik kilometrů severovýchodně od počátku křesťanského osídlení Tamitu, asi 80 kilometrů od sudánského hraničního města Wadi Halfa a na půli cesty mezi starobylými městy Qustul a Qasr Ibrim.""",certain or very probable,"ar-Ramāl (Ar Ramel) {Nubien}, Konventkirche",,,"ar-Ramāl, Ar Ramel",Egypt,,,Nubia,,MA (800-?),800,1099,11,950,10,n,c,church of the Convent,,SE,rectangle,,,,"N, W","N, W",,SE,square,,,,,,,,,,,37,,,,,,"Godlewski 1979, 130, fig. 96",,,https://www.wikiwand.com/de/Ar-Ramal#/Lage,
16,16,,,100,,Armina-West,"Armina-West, Egypt",30.7029892,30.9411021,3,Armaniyya,certain or very probable,Armina-West (Armina) {Nubien},,,"Armina-West, Armina",Egypt,,,Nubia,,8,700,799,8,750,8,,c,,,SE,inside the church,,,,W,W,,SE,rectangle,,,,,,open access,,,,,,,,,,,"Godlewski 1979, 64, fig. 9f",,,,
17,17,,,,,Al Ashmunin,"Al Ashmunin, Egypt",30.80,27.78,1,,certain or very probable,"Ašmunāyn (El-Ašmunain/Hermo(u)polis Magna), Große Basilika",,"Hermopolis Magna, Hermoupolis Magna","Ašmunāyn, El-Ašmunain",Egypt,,,,,5 (?),400,499,5,450,5,n,c,grand basilika,,NE,rectangle,,,,"S, W","S, W",,M-E,round,,,,,,open access,,,3,"E, W",,,,,,,"Grossmann 1996, 49, Abb.6",,,,
18,18,21,,,,Al Ashmunin,"Al Ashmunin, Egypt",30.80,27.78,1,,certain or very probable,"Ašmunāyn (El-Ašmunain/Hermo(u)polis Magna), Kirche beim Tempel Ramses II (S-Kirche)",,"Hermopolis Magna, Hermoupolis Magna","Ašmunāyn, El-Ašmunain",Egypt,,,,,5/6,400,599,6,500,6,,c,Church at the Temple of Ramses II (southern church),,S,rectangle,,,,,"E, W",,W/M,round,,,,,,open access,,,,"E, W",,,,,,,"Grossmann 1978, Taf. 11b; Grossmann 1981, 154, Fig. 2; Milburn 1988, 144, fig. 96; Grossmann in: ACA 11, 1874, fig. 12; Grossmann/Bailey 1994, 52f., fig. 4f.",,,,
19,19,,,,,Dair al-Balaizā,"Dair al-Balaizā, Egypt",31.19,27.18,2,Asyut,certain or very probable,"Dair al-Balaizā (südwestl. Asyut), Kirche in der Felsenhöhle",Asyut,,Dair al-Balaizā,Egypt,,,,,7 (?),600,699,7,650,7,n,c,church in the rock cave,,NW,semicircle,,,,"S, E","S, E",,M-N/W,rectangle,,,,,,irregular,,,,,,,,,,,"Grossmann 1993, 183, Abb. 2",,,,
20,20,,,100,,Faras,"Faras, Egypt",31.47,22.20,1,,certain or very probable,Faras {Nubien},,,Faras,Egypt,,,Nubia,,(?),unknown,unknown,#VALUE!,#DIV/0!,#DIV/0!,n,,,,,,,,,,,,,round,,,,,,,,y,,,8,,18,y,,,,,,,
21,21,,,100,,Faras,"Faras, Egypt",31.47,22.20,1,,certain or very probable,"Faras {Nubien}, Kathedrale (Bau des Paulos); Phase: 2",,,Faras,Egypt,,,Nubia,,707 (?),707,707,8,707,8,n,c,cathedral,Paul,SE,rectangle,,,,"N, W","N, W",E,M,round,rectangle,,,,,open access,,,4,W,70,,,,,,"Godlewski 1979, 68f., fig. 14f; 73, fig. 18",,,,
22,22,,,100,,Faras,"Faras, Egypt",31.47,22.20,1,,certain or very probable,"Faras {Nubien}, Uferkirche (Rivergate Church)",,,Faras,Egypt,,,Nubia,,6/7,500,699,7,600,7,,c,river church,,SE,rectangle,,,,W,W,,SW,rectangle,,,,,,(?),,,,,,,,,,,"Godlewski 1979, 83, fig. 32",,,,
23,23,70,,,,Edfu,"Idfū, Egypt",32.88,24.98,1,,certain or very probable,Idfū (Tbot/Apollonopolis/Atbo/Edfu/Deir Melak Mikhail,,Apollonopolis,"Idfū, Tbot, Atbo, Edfu, Deir Melak Mikhail",Egypt,,,,,MA,500,1099,11,800,9,,,,Michail,SW,rectangle,,,,N,,,SE,round,square,,,,,,,,,,,,,,,,,,,,
24,24,,,100,,Ikhmindi,"Ikhmindi, Egypt",32.64,23.02,1,,certain or very probable,"Iḥmīndi (Ikhmindi) {Nubien}, Zentralkirche (6. Jh.)",,,"Iḥmīndi, Ikhmindi",Egypt,,,Nubia,,6 (später?),550,599,6,575,6,n,c,central church,,SE,rectangle,,,,W,W,,SE,rectangle,,,,,,,,,,,36,,,,,,"Godlewski 1979, 90, fig. 41",,,,
25,25,72,,,,Isna,"Isna, Egypt",32.55,25.29,1,,certain or very probable,"Isnā (Tesnet/Latopolis/Sne/Esna), Dair es-Shuhada (Dêr Manaos wa Shuhada/Amonius und Märtyrer)",,Latopolis,"Isnā, Tesnet, Sne, Esna, Dair es-Shuhada, Dêr Manaos wa Shuhada, Amonius und Märtyrer",Egypt,,,,,MA (?),500,1099,11,800,9,n,,,"Amonius, Märtyrer",,rectangle,,,,,,,,round,,,,,,,,,,,,,,,,,,,,,
26,26,76,,,,Cairo,"Cairo, Egypt",31.25,30.06,1,,certain or very probable,"Kairo, Abū Sarga(h) (=Sergioskirche)",,,"Kairo, Abū Sarga, Abū Sargah",Egypt,,,,,MA (10?),900,999,10,950,10,n,c,Sergios church,Sergios,N,inside the church,,,,open,N,N,M,oval,rectangle,,,,,,,,,,,,,,,,"Butler 1884, n. 182 (Abb.); 200, fig. 12 [Krypta]; Grossmann 1981, fig. 1",,,,
27,27,77,,,,Cairo,"Cairo, Egypt",31.25,30.06,1,,certain or very probable,"Kairo, Dair Abū es-Sifaīn/Dair Abu's-Sifa'īn (Māri Girgis = Georgskirche/Anba Sha(m)(n)ūda(h)); Phase: 1",,,"Kairo, Dair Abū es-Sifaīn, Dair Abu's-Sifa'īn, Māri Girgis = Georgskirche, Anba Shaūda, Anba Shamūda, Anba Shamnūda, Anba Shamnūdah, Anba Shanūdah,Anba Shanūdah,Anba Shaūdah",Egypt,,,,,MA (8?),700,799,8,750,8,n,c,Georgis church,George,S,rectangle,,,,N,N,,E,round,,,,,,,,,,,,,,,,,"Butler 1884, 143, Fig. 9",,,,
28,28,77,,,,Cairo,"Cairo, Egypt",31.25,30.06,1,,certain or very probable,"Kairo, Dair Abū es-Sifaīn/Dair Abu's-Sifa'īn (Māri Girgis = Georgskirche/Anba Sha(m)(n)ūda(h)); Phase: 2",,,"Kairo, Dair Abū es-Sifaīn, Dair Abu's-Sifa'īn, Māri Girgis = Georgskirche, Anba Shaūda, Anba Shamūda, Anba Shamnūda, Anba Shamnūdah, Anba Shanūdah,Anba Shanūdah,Anba Shaūdah",Egypt,,,,,MA (8?-später?),700,1099,11,900,10,n,c,Georgis church,George,S,rectangle,,,,W,W,,E,round,,,,,,,,,,,,,,,,,,,,,
29,29,,,,,Cairo,"Cairo, Egypt",31.25,30.06,1,,certain or very probable,"Kairo, Dair Abū es-Sifaīn/Dair Abu's-Sifa'īn (Merkurioskirche)",,,"Kairo, Dair Abū es-Sifaīn, Dair Abu's-Sifa'īn",Egypt,,,,,MA (9/10?),800,999,10,900,10,n,c,Mercury church,Merkurioskirche,NE,rectangle,,,,W,W,,SE,round,rectangle,,,,,open access,,,1,"N, S",,,,,,,"Grossmann, 1978, Taf. 18a",,,,
30,30,75,,,,Cairo,"Cairo, Egypt",31.25,30.06,1,,certain or very probable,"Kairo, Dair Abū es-Sifaīn/Dair Abu's-Sifa'īn (Sitt Miriam = Marienkirche/Al-'Adra)",,,"Kairo, Dair Abū es-Sifaīn, Dair Abu's-Sifa'īn, Al-'Adra",Egypt,,,,,MA (?-9?),unknown,899,9,899,9,n,c,church of the Virgin Mary,Mary,SW,rectangle,,,,N,N,,E,round,,,,,,,,,,,,,,,,,"Butler 1884, 149, Fig. 10",,,,
31,31,78,,,,Cairo,"Cairo, Egypt",31.25,30.06,1,,certain or very probable,"Kairo, Dair Māri Mīna",,,"Kairo, Dair Māri Mīna",Egypt,,,,,8,700,799,8,750,8,,,,Mary,SE,rectangle,,,,"N, S, W","N, S, W",,E,round,,,,,,round-oval,,,,,,,,,,,"Butler 1884, 48, Fig. 1",,,,
32,32,,71,,,Cairo,"Cairo, Egypt",31.25,30.06,1,,certain or very probable,"Kairo, Kathedrale (Al'-Adrah/Al-Mu'allakah/El-Moallaka/Haret ar-Roum/Kleine Kirche)",,,"Kairo, Al'-Adrah, Al-Mu'allakah, El-Moallaka, Haret ar-Roum, Kleine Kirche",Egypt,,,,,MA (?),500,1099,11,800,9,n,c,cathedral,,SE,rectangle,,,,,,,,unknown,,,,,,destroyed,,,,,,,,,,,,,,,
33,33,,,,,Karm al-Aḥbariya,"Karm al-Aḥbariya, Egypt",,,4,,certain or very probable,Karm al-Aḥbariya {Mareotis},,,Karm al-Aḥbariya,Egypt,,,,,6,500,599,6,550,6,,,,,NW,square,,,,,,,M,round,,,,,,open access,,,2,"NE, SW",,,,,,,"Witte-orr 1993, Abb. 2",,,,
34,34,,,,,Qaṣr-Waḥaidā,"Qaṣr-Waḥaidā, Egypt",30.37,30.78,3,"Kellia; měl by to být ostrov, ale podle https://tools.wmflabs.org/geohack/geohack.php?pagename=Kellia&params=30.776003_N_30.368868_E_ to ostrov není?",certain or very probable,"Kellia - Qaṣr-Waḥaidā (Qaçr (al)-Ouaheida), W-Kirche",,,"Qaṣr-Waḥaidā, Qaçr Ouaheida, Qaçr al-Ouaheida",Egypt,,Kellia,,,5/6,400,599,6,500,6,,c,western church,,NE,rectangle,,,,S,S,E,M,round,,,,,,open access,,,2,"E, W",,,,,,,"Daumas 1969, 506, Fig. 12, hier Nr. 4; Grossmann 1978, Taf. 12b; Grossmann 1981, 161, Fig. 4; Descoeudres 1989, 50, Fig. 35",,,,
35,35,,,,,Quṣūr 'īsā,"Quṣūr 'īsā, Egypt",30.40,30.77,1,,certain or very probable,"Kellia - Quṣūr 'īsā (Qouçoūr 'Isā), S-Kirche (Kirche 1)",,,"Quṣūr 'īsā, Qouçoūr 'Isā",Egypt,,Kellia,,,5,400,499,5,450,5,,c,southern church (church 1),,NE,rectangle,,,,S,S,,NW,rectangle,,,,,,,,,3,E,,,,,,,"Egloff 1977, Pl. 117; Descoeudres 1989, 49, Fig. 32; Godlewski 1991, 199 (Abb. o. li.) [Pisc.]",,,,
36,36,,,"97, 99",,Kurūm aţ Ţiwāl,"Kurūm el-Ṭuwāl, Egypt",29.93,30.93,1,,certain or very probable,Kurūm el-Ṭuwāl (Kurum at-Tuwwal/b. el-Âmirīja,el-Âmirīja,,"Kurūm el-Ṭuwāl, Kurum at-Tuwwal",Egypt,,,,,6-(?),500,unknown,#VALUE!,500,6,n,,,,SW,rectangle,,,,,,,S,round,cross,,,,,(?),,,2,,100,n,,,y,4,"Eilmann/Langsdorf/Stier 1930, 117, Abb.5",,,,
37,37,44,,,,Luxor,"Luxor, Egypt",32.65,25.70,1,,certain or very probable,"Luxor (Louqsor/Lugşur), Kirche vor dem Pylon",,,"Luxor, Louqsor, Lugşur",Egypt,,,,,fma,500,999,10,750,8,,c,church in front of the pylon,,NW,rectangle,,,,"N, E",E,,M,round,,,,,,inside accesses,,,3,"W, E",,,,,y,4,"Grossmann 1978, Taf. 14b; Grossmann 1981, 171, Fig. 8; Grossmann in: ACA 11, 1890, Fig. 20; Godlewski 1991 (Abb. mi. li.) [Pisc.]",,,,
38,38,71,,,,Al Madāmūd,"Al Madāmūd, Egypt",32.71,25.73,1,,certain or very probable,"Madamūd (Medamūt/Madu), Dair Bakhomius",,,"Madamūd, Medamūt, Madu",Egypt,,,,,MA,500,1099,11,800,9,,c,Dair Bakhomius,Bakhomius,,inside the church,,,,open,open,,,round,rectangle,,,,,,,,1,,,,,,,,"Godlewski 1991, 198 (Abb. u. re.) [Pisc.]",,,,
39,39,66,,,,Al Madāmūd,"Al Madāmūd, Egypt",32.71,25.73,1,,certain or very probable,"Madamūd (Medamūt/Madu), Dreischiffige Basilika",,,"Madamūd, Medamūt, Madu",Egypt,,,,,fma,500,999,10,750,8,,c,three-aisled basilica,,SSW,rectangle,,,,"N, W",Narthex,,E,round,,,,,,,,,,,,,,,,,,,,,
40,40,69,,,,Al Madāmūd,"Al Madāmūd, Egypt",32.71,25.73,1,,certain or very probable,"Madamūd (Medamūt/Madu), Pharaonentempel",,,"Madamūd, Medamūt, Madu",Egypt,,,,,4/5 (Anfang 5?),300,424,5,362,4,n,c,Pharaoh temple,,W,rectangle,,,,E,E,,M,round,square,,,,,,,,,,,,,,,,,,,,
41,41,,,115,,Mahūra al-Qibli,"Mahūra al-Qibli, Egypt",29.52,30.95,2,Abusir,certain or very probable,"Mahūra al-Qibli (Ayn Mahura al-qibli/12 km westl. Abu Sir = Taposiris Magna) {Mareotis}, Zentralkirche (vordere Pisc.); Phase 1","Abu Sir, Taposiris Magna",,"Mahūra al-Qibli, Ayn Mahura al-qibli",Egypt,,,Mareotis,,(?),unknown,unknown,#VALUE!,#DIV/0!,#DIV/0!,n,c,central church,,W,rectangle,,,,"N, S, E, W","N, S, E, W",,,oval,,,,,,,,,2,W,,,,,y,4,"Grossmann/Jaritz 1980, 227, Abb. 9; Khatchatrian 1982, 115 (Abb. u.) [Pisc.]; Godlewski 1991, 198 (Abb. m. li.) [Pisc.]",,,,
42,42,,,115,,Mahūra al-Qibli,"Mahūra al-Qibli, Egypt",29.52,30.95,2,Abusir,certain or very probable,"Mahūra al-Qibli (Ayn Mahura al-qibli/12 km westl. Abuṣir = Taposiris Magna) {Mareotis}, Zentralkirche (hintere Pisc.); Phase 2","Abu Sir, Taposiris Magna",,"Mahūra al-Qibli, Ayn Mahura al-qibli",Egypt,,,Mareotis,,(?),unknown,unknown,#VALUE!,#DIV/0!,#DIV/0!,n,c,central church,,W,rectangle,,,,"N, S, E, W","N, S, W",,,oval,,,,,,open access,,,3,"E, W",,,,,y,4,"Grossmann/Jaritz 1980, 227, Abb. 9",,,,
43,43,,,97,,Medinet Habu,"Medinet Habu, Egypt",32.60,25.72,1,,certain or very probable,Medinet Abu (Médinet Habou),,,"Medinet Abu, Médinet Habou",Egypt,,,,,fma,500,999,10,750,8,,c,,,,inside the church,,,,open,open,,,unknown,,,,,,destroyed,,,,,,,,,,,,,,,
44,44,79,,,,Nağ 'Abdallah,"Nağ 'Abdallah, Egypt",,,4,,certain or very probable,"Nağ 'Abdallah (Naga 'Abdallah) {Nubien}, Große Kirche",,,"Nağ 'Abdallah, Naga 'Abdallah",Egypt,,,Nubia,,7/8 (Ende 7),600,799,8,700,8,n,c,grand church,,SE,rectangle,,,?,"W, N",W,,,round,square,,,,,,,y,,,45,n,50,,,,"Godlewski 1979, 96, fig. 51f",,,,
45,45,,111,,,Nağ 'ad-Dair,"Nağ 'ad-Dair, Egypt",35.43,30.34,3,Ad Deir,certain or very probable,Nağ 'ad-Dair (Naga ed-Dair/Naga'a ed-Dêr),,,"Nağ 'ad-Dair, Naga ed-Dair, Naga'a ed-Dêr",Egypt,,,,,(?),unknown,unknown,#VALUE!,#DIV/0!,#DIV/0!,n,,,,SE,rectangle,,,,W,,,SE,rectangle,,,,,,,,,,,,,,,,,"Clarke 1912, 141, Pl. 41,2",,,https://en.wikipedia.org/wiki/Ad_Deir,
46,46,,,100,,Nağ 'al-'Uqba,"Nağ 'al-'Uqba, Egypt",,,4,,certain or very probable,Nağ 'al-'Uqba (Naga el-Oqba) {Nubien},,,"Nağ 'al-'Uqba, Naga el-Oqba",Egypt,,,Nubia,,MA (11/12),1000,1199,12,1100,12,,c,,,SE,inside the church,,,,open,open,,,round,,,,,,(?),,,,,,,,,,,"Godlewski 1979, 97, fig. 53",,,,
47,47,,,100,,Nağ Šaīma,"Nağ Šaīma, Egypt",,,4,,certain or very probable,Nağ Šaīma (Naga eš-Šeima) {Nubien},,,"Nağ Šaīma, Naga eš-Šeima",Egypt,,,Nubia,,8,700,799,8,750,8,,,,,SE,rectangle,,,?,W,W,,,rectangle,,,,,,,,,,,,,,,,,"Godlewski 1979, 98, fig. 54",,,,
48,48,74,,,,Naqadā,"Naqadā, Egypt",32.73,25.90,1,,certain or very probable,"Naqadā (Nakādah), Dair es-Salib",,,"Naqadā, Nakādah, Dair es-Salib",Egypt,,,,,MA,500,1099,11,800,9,,,,,SE,square,,,,,,,M,square,,,,,,,,,,,,,,,,,,,,,
49,49,73,,97,,Naqadā,"Naqadā, Egypt",32.73,25.90,1,,certain or very probable,"Naqadā (Nakādah), Dair Mari Buqṭur (Dair Mari  Boktor)",,,"Naqadā, Nakādah, Dair Mari Buqṭur, Dair Mari  Boktor",Egypt,,,,,MA,500,1099,11,800,9,,,,,NE,rectangle,,,,S,S,,M/S,round,square,,,,,,,,,,,,,,,,,,,,
50,50,,,100,,Qaṣr al-Wizz,"Qaṣr al-Wizz, Egypt",,,4,,certain or very probable,Qaṣr al-Wizz (K(Q)asr e(a)l-Wizz) {Nubien},,,"Qaṣr al-Wizz, Kasr el-Wizz, Kasr al-Wizz, Qasr el-Wizz, Qasr al-Wizz",Egypt,,,Nubia,,8,700,799,8,750,8,,,,,SE,rectangle,,,~,"N, E, W","N, E, W",E,NW,rectangle,,,,,,,1,,,,75,,,,,,"Godlewski 1979, 92, fig. 44; 93, fig. 46 [Pisc.]",,,https://www.researchgate.net/publication/290717926_Oriental_Institute_Museum_Notes_No_15_A_Coptic_Lintel_from_Qustul,
